"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.5373992919922","","","","","","","","","","96.9405288696289","","","","","","","","97.8001327514648","","",
"Afghanistan","AFG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","30.3077507019043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.4170989990234","","","","","","","55.4754486083984","","",
"Angola","AGO","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.9198684692383","","","","","","","","","","","","","79.9741516113281","","","","","","",
"Albania","ALB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.1876068115234","","","","","","","97.3061981201172","","","98.0081634521484","98.3526077270508","","","","","","98.5136184692383","","",
"Andorra","AND","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","59.1294288635254","59.3597106933594","59.6291198730469","60.0299301147461","60.4744606018066","61.002010345459","60.9632797241211","61.6989898681641","62.4982681274414","63.2868309020996","63.7980003356934","64.6876983642578","65.4416122436523","66.2620620727539","67.2540893554688","67.9377288818359","69.0632171630859","69.583610534668","70.4563598632813","71.4563217163086","72.1502838134766","73.1108169555664","73.8650436401367","74.3193435668945","75.5050888061523","76.3422088623047","79.2865676879883","79.8284912109375","78.9223480224609","76.9644470214844","77.5534515380859","78.0918197631836","76.9594268798828","77.5107498168945","78.9164810180664","82.1015167236328","82.0006484985352","83.1007537841797","80.8100280761719","81.7451705932617","82.216423034668","79.5987930297852","79.7615966796875","",
"United Arab Emirates","ARE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","58.3861083984375","","","","","","","","","","72.2742767333984","","","","","","","","","","","","","","","","","","","","89.4821014404297","","","","","","","","","","92.5561599731445","","","","","",
"Argentina","ARG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","94.2633895874023","","","","","","","","","","","96.1740570068359","","","","","","","","","","97.1931991577148","","","","","98.7271881103516","","","98.9627227783203","98.9853210449219","99.2283096313477","99.1111297607422","99.1560287475586","99.0612487792969","99.1482467651367","99.1049880981445","","98.9377365112305","","",
"Armenia","ARM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4038467407227","","","","","","","","","","","","99.672233581543","","","","","","","","","","99.8060836791992","","","","","","99.8054962158203","","","",
"American Samoa","ASM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","97.4699630737305","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.4000015258789","","","","","","","","","","98.4000015258789","","","","98.4000015258789","","","","","",
"Australia","AUS","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4724197387695","","","","","","","","99.8209686279297","","99.8426666259766","99.8544387817383","99.8566589355469","99.8528518676758","99.8659210205078","99.8620071411133","99.8626327514648","99.8640518188477","99.8637466430664","","","",
