,Country Name,2015 % Total GDP,2016 % Total GDP,2017 % Total GDP,2018 % Total GDP,2019 % Total GDP,"2015 % Spending/Student, Primary","2016 % Spending/Student, Primary","2017 % Spending/Student, Primary","2018 % Spending/Student, Primary","2019 % Spending/Student, Primary","2015 % Spending/Student, Secondary","2016 % Spending/Student, Secondary","2017 % Spending/Student, Secondary","2018 % Spending/Student, Secondary","2019 % Spending/Student, Secondary","2015 % Spending/Student, Tertiary","2016 % Spending/Student, Tertiary","2017 % Spending/Student, Tertiary","2018 % Spending/Student, Tertiary","2019 % Spending/Student, Tertiary"
0,Afghanistan,3.2558000089999997,4.228360176,4.058869839,,,10.24688,10.340810000000001,10.25174,,,10.29234,11.98575,11.3072,,,,,,,
1,Albania,3.4379699230000003,3.962090015,3.611720085,,,29.845679999999998,,34.18148,,,6.78368,9.82258,7.97805,,,12.88117,14.645970000000002,13.78559,,
2,Algeria,,,,,,,,,,,,,,,,,,,,
3,American Samoa,,,,,,,,,,,,,,,,,,,,
4,Andorra,3.28034997,3.237070084,3.217089891,3.2467200760000003,3.151619911,13.456570000000001,12.74297,12.724110000000001,12.30702,,14.38817,13.636389999999999,13.56321,13.934239999999999,,27.737140000000004,27.080579999999998,23.66465,22.28547,
5,Angola,,,,,,,,,,,,,,,,,,,,
6,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,
7,Argentina,5.776110172,5.545489787999999,5.462230206,,,15.643089999999999,15.2222,14.977260000000001,,,22.87436,21.59171,20.6226,,,17.248639999999998,16.08373,16.91251,,
8,Armenia,2.80591011,2.75812006,2.7075901030000002,,,10.994000000000002,11.27122,10.15365,,,,,,,,9.839080000000001,9.7656,9.88124,,
9,Aruba,5.975709915,5.524149895,,,,,,,,,,,,,,145.57715,100.24176,,,
10,Australia,5.311270237,5.276780128,5.124249935,,,18.78482,19.30184,,,,17.13625,14.98139,,,,21.465989999999998,17.829539999999998,,,
11,Austria,5.456580162000001,5.484350204,5.358039856,,,23.20446,23.48041,,,,27.293000000000003,27.720440000000004,,,,35.98491,36.23652,,,
12,Azerbaijan,2.951679945,2.903409958,2.4738199709999997,2.455430031,,,,,,,,,,,,17.88004,23.311989999999998,19.39114,,
13,"Bahamas, The",,,,,,,,,,,,,,,,,,,,
14,Bahrain,2.6680800909999998,,2.327810049,,,11.16362,,,,,17.50832,,,,,,,,,
15,Bangladesh,,1.535539985,,,1.326320052,,,,,,,9.88363,,,,,29.903879999999997,,,
16,Barbados,,4.95138979,4.366380215,,,,20.75168,,,,,28.03908,,,,,,,,
17,Belarus,4.7875199319999995,4.946549892,4.794990063,,,,,,,,,,35.666140000000006,,,15.952060000000001,17.04407,17.922439999999998,,
18,Belgium,6.4515700339999995,6.45953989,6.412280083,,,22.03343,21.877670000000002,,,,,,,,,32.329609999999995,32.207,,,
19,Belize,6.88888979,7.284770012,7.509890079,7.561490059,,15.107729999999998,16.231270000000002,16.55987,,,26.00505,26.1109,27.31837,,,32.98957,28.44193,27.317420000000002,,
20,Benin,3.17298007,2.899100065,3.5355899330000002,2.933969975,,10.253210000000001,,,,,11.34655,,,,,77.72193,,,,
21,Bermuda,1.6986000540000001,,1.500390053,,,8.05056,,,,,11.92934,,,,,,,23.92178,,
22,Bhutan,7.590099812,6.993330002,7.225739956,6.850840092,,,,,,,29.42942,,,,,,,,,
23,Bolivia,,,,,,,,,,,,,,,,,,,,
24,Bosnia and Herzegovina,,,,,,,,,,,,43.51293,,,,,23.73047,,,
25,Botswana,,,,,,,,,,,,,,,,,,,,
26,Brazil,6.24105978,6.3140401839999996,6.32254982,,,20.05496,,,,,21.52655,,,,,33.04323,,,,
27,British Virgin Islands,5.1347899439999996,,2.358989954,2.465990067,,7.383789999999999,,6.24826,,,14.06042,,10.851469999999999,,,40.0368,,,,
28,Brunei Darussalam,,4.425409794,,,,,8.87354,,,,,23.64457,,,,,31.927840000000003,,,
29,Bulgaria,,,4.09250021,,,,,,,,,,,,,,,,,
30,Burkina Faso,3.67008996,,5.603469849,5.383790016,,16.13029,,,,,17.26223,19.92959,,,,123.2152,351.47005,,,
31,Burundi,6.370540142,4.691999912,4.762020111,5.078649998,,,,,,,,,,,,,,,,
32,Cabo Verde,5.266910076,5.288790226000001,5.181749821,,,16.62463,17.06822,16.65962,,,18.65404,19.87578,19.661170000000002,,,40.61101,39.26181,38.317640000000004,,
33,Cambodia,,,,2.162859917,,,,,,,,,,,,,,,,
34,Cameroon,2.768049955,2.654230118,3.154819965,3.131200075,,,,,,,,,,,,,,,,
35,Canada,,,,,,17.56737,,,,,,,,,,36.93396,31.44008,,,
36,Cayman Islands,,,,,,,,,,,,,,,,,,,,
37,Central African Republic,,,,,,,,,,,,,,,,,,,,
38,Chad,,,2.454819918,,,,,,,,,,,,,,,,,
39,Channel Islands,,,,,,,,,,,,,,,,,,,,
40,Chile,4.875309944,5.342010021,5.41945982,,,15.187479999999999,18.29521,18.385360000000002,,,16.63683,18.48666,18.68243,,,18.41495,19.98293,20.25927,,
41,China,,,,,,,,,,,,,,,,,,,,
