Series Name,Country Name,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Government expenditure per student, primary (% of GDP per capita)",Afghanistan,10.24688,10.34081,10.25174,..,..
"Government expenditure per student, primary (% of GDP per capita)",Albania,29.84568,..,34.18148,..,..
"Government expenditure per student, primary (% of GDP per capita)",Algeria,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",American Samoa,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Andorra,13.45657,12.74297,12.72411,12.30702,..
"Government expenditure per student, primary (% of GDP per capita)",Angola,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Antigua and Barbuda,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Argentina,15.64309,15.2222,14.97726,..,..
"Government expenditure per student, primary (% of GDP per capita)",Armenia,10.994,11.27122,10.15365,..,..
"Government expenditure per student, primary (% of GDP per capita)",Aruba,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Australia,18.78482,19.30184,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Austria,23.20446,23.48041,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Azerbaijan,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)","Bahamas, The",..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Bahrain,11.16362,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Bangladesh,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Barbados,..,20.75168,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Belarus,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Belgium,22.03343,21.87767,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Belize,15.10773,16.23127,16.55987,..,..
"Government expenditure per student, primary (% of GDP per capita)",Benin,10.25321,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Bermuda,8.05056,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Bhutan,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Bolivia,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Bosnia and Herzegovina,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Botswana,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Brazil,20.05496,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",British Virgin Islands,7.38379,..,6.24826,..,..
"Government expenditure per student, primary (% of GDP per capita)",Brunei Darussalam,..,8.87354,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Bulgaria,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Burkina Faso,16.13029,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Burundi,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Cabo Verde,16.62463,17.06822,16.65962,..,..
"Government expenditure per student, primary (% of GDP per capita)",Cambodia,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Cameroon,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Canada,17.56737,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Cayman Islands,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Central African Republic,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Chad,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Channel Islands,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Chile,15.18748,18.29521,18.38536,..,..
"Government expenditure per student, primary (% of GDP per capita)",China,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Colombia,17.41694,17.44523,17.84725,16.98989,..
"Government expenditure per student, primary (% of GDP per capita)",Comoros,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)","Congo, Dem. Rep.",..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)","Congo, Rep.",..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Costa Rica,26.71543,24.86943,22.2852,20.82721,..
"Government expenditure per student, primary (% of GDP per capita)",Cote d'Ivoire,13.78098,15.7917,13.17057,13.27872,..
"Government expenditure per student, primary (% of GDP per capita)",Croatia,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Cuba,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Curacao,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Cyprus,32.18788,31.88086,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Czech Republic,14.94718,13.8679,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Denmark,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Djibouti,..,37.32327,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Dominica,14.64306,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Dominican Republic,14.92318,15.80752,14.61223,16.18636,..
"Government expenditure per student, primary (% of GDP per capita)",Ecuador,9.43166,9.51098,..,..,..
"Government expenditure per student, primary (% of GDP per capita)","Egypt, Arab Rep.",..,..,9.84518,..,..
"Government expenditure per student, primary (% of GDP per capita)",El Salvador,13.55766,16.15496,16.03698,16.10453,..
"Government expenditure per student, primary (% of GDP per capita)",Equatorial Guinea,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Eritrea,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Estonia,19.99539,20.29085,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Eswatini,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Ethiopia,7.87686,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Faroe Islands,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Fiji,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Finland,21.99535,21.50883,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",France,17.53958,17.3647,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",French Polynesia,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Gabon,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)","Gambia, The",8.47324,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Georgia,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Germany,17.50845,17.44257,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Ghana,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Gibraltar,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Greece,20.20131,20.26908,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Greenland,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Grenada,..,..,8.17698,..,..
"Government expenditure per student, primary (% of GDP per capita)",Guam,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Guatemala,10.06501,11.08353,11.36856,11.88315,..
"Government expenditure per student, primary (% of GDP per capita)",Guinea,..,6.81269,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Guinea-Bissau,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Guyana,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Haiti,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Honduras,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)","Hong Kong SAR, China",14.85107,15.024,14.94539,14.82783,..
"Government expenditure per student, primary (% of GDP per capita)",Hungary,18.67208,19.06479,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Iceland,22.79978,22.10298,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",India,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Indonesia,13.28127,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)","Iran, Islamic Rep.",7.55314,9.52057,11.11757,..,..
"Government expenditure per student, primary (% of GDP per capita)",Iraq,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Ireland,11.83086,11.84396,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Isle of Man,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Israel,21.34266,21.53058,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Italy,21.73441,19.52238,..,..,..
