Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Afghanistan,AFG,3.255800009,4.228360176,4.058869839,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Albania,ALB,3.437969923,3.962090015,3.611720085,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Algeria,DZA,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,American Samoa,ASM,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Andorra,AND,3.28034997,3.237070084,3.217089891,3.246720076,3.151619911
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Angola,AGO,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Antigua and Barbuda,ATG,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Argentina,ARG,5.776110172,5.545489788,5.462230206,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Armenia,ARM,2.80591011,2.75812006,2.707590103,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Aruba,ABW,5.975709915,5.524149895,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Australia,AUS,5.311270237,5.276780128,5.124249935,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Austria,AUT,5.456580162,5.484350204,5.358039856,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Azerbaijan,AZE,2.951679945,2.903409958,2.473819971,2.455430031,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Bahamas, The",BHS,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bahrain,BHR,2.668080091,..,2.327810049,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bangladesh,BGD,..,1.535539985,..,..,1.326320052
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Barbados,BRB,..,4.95138979,4.366380215,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Belarus,BLR,4.787519932,4.946549892,4.794990063,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Belgium,BEL,6.451570034,6.45953989,6.412280083,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Belize,BLZ,6.88888979,7.284770012,7.509890079,7.561490059,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Benin,BEN,3.17298007,2.899100065,3.535589933,2.933969975,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bermuda,BMU,1.698600054,..,1.500390053,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bhutan,BTN,7.590099812,6.993330002,7.225739956,6.850840092,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bolivia,BOL,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bosnia and Herzegovina,BIH,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Botswana,BWA,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Brazil,BRA,6.24105978,6.314040184,6.32254982,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,British Virgin Islands,VGB,5.134789944,..,2.358989954,2.465990067,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Brunei Darussalam,BRN,..,4.425409794,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bulgaria,BGR,..,..,4.09250021,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Burkina Faso,BFA,3.67008996,..,5.603469849,5.383790016,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Burundi,BDI,6.370540142,4.691999912,4.762020111,5.078649998,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cabo Verde,CPV,5.266910076,5.288790226,5.181749821,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cambodia,KHM,..,..,..,2.162859917,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cameroon,CMR,2.768049955,2.654230118,3.154819965,3.131200075,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Canada,CAN,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cayman Islands,CYM,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Central African Republic,CAF,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Chad,TCD,..,..,2.454819918,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Channel Islands,CHI,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Chile,CHL,4.875309944,5.342010021,5.41945982,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,China,CHN,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Colombia,COL,4.470389843,4.477210045,4.535510063,4.457489967,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Comoros,COM,2.545059919,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Congo, Dem. Rep.",COD,2.170439959,2.118690014,1.454949975,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Congo, Rep.",COG,4.561470032,..,5.46505022,3.511049986,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Costa Rica,CRI,7.082540035,7.097680092,7.315720081,6.978569984,7.048759937
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cote d'Ivoire,CIV,3.494159937,3.97232008,3.80347991,3.256030083,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Croatia,HRV,..,..,3.917129993,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cuba,CUB,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Curacao,CUW,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cyprus,CYP,6.346360207,6.163799763,5.777190208,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Czech Republic,CZE,5.788849831,5.587379932,3.854020119,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Denmark,DNK,..,..,7.816080093,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Djibouti,DJI,3.590240002,3.924390078,3.748559952,3.627739906,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Dominica,DMA,3.408580065,..,..,..,5.573450089
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Dominican Republic,DOM,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Ecuador,ECU,4.998700142,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Egypt, Arab Rep.",EGY,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,El Salvador,SLV,3.909879923,3.825239897,3.725229979,3.592420101,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Equatorial Guinea,GNQ,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Eritrea,ERI,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Estonia,EST,5.106850147,5.170539856,4.973380089,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Eswatini,SWZ,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Ethiopia,ETH,4.737919807,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Faroe Islands,FRO,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Fiji,FJI,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Finland,FIN,7.032080173,6.851530075,6.376210213,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,France,FRA,..,..,5.451600075,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,French Polynesia,PYF,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Gabon,GAB,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Gambia, The",GMB,2.160029888,2.024430037,..,2.420300007,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Georgia,GEO,..,3.593869925,3.574429989,3.52105999,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Germany,DEU,4.834980011,4.840219975,4.905119896,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Ghana,GHA,4.510890007,4.486830235,3.617980003,3.989439964,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Gibraltar,GIB,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Greece,GRC,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Greenland,GRL,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Grenada,GRD,..,..,3.173799992,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Guam,GUM,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Guatemala,GTM,3.030329943,2.944740057,2.951819897,3.140929937,3.212199926
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Guinea,GIN,2.517139912,2.544559956,2.31765008,2.315939903,..
