,Country Name,2015 Total Pop,2016 Total Pop,2017 Total Pop,2018 Total Pop,2019 Total Pop,2015 Adults (%),2016 Adults (%),2017 Adults (%),2018 Adults (%),2019 Adults (%),2015 Total Unemploment,2016 Total Unemploment,2017 Total Unemploment,2018 Total Unemploment,2019 Total Unemploment,2015 Female Unemploment,2016 Female Unemploment,2017 Female Unemploment,2018 Female Unemploment,2019 Female Unemploment,2015 Male Unemployment,2016 Male Unemployment,2017 Male Unemployment,2018 Male Unemployment,2019 Male Unemployment
1,Afghanistan,34413603,35383128,36296400,37172386,38041754,52.64429883,53.2079642,53.76322252,54.32489755,54.9119344,11.38700008,11.31299973,11.18400002,11.05700016,11.11800003,14.42700005,14.31400013,14.09000015,13.90600014,14.00399971,10.68400002,10.5710001,10.41600037,10.2869997,10.33100033
3,Albania,2880703,2876101,2873457,2866376,2854191,68.70472473,68.66009247,68.64261422,68.58239036,68.39780528,17.07999992,15.22000027,13.75,12.34000015,12.33100033,17.09799957,14.57299995,12.56299973,11.22900009,11.60400009,17.06800079,15.67800045,14.59000015,13.12699986,12.84599972
58,Algeria,39728025,40551404,41389198,42228429,43053054,65.42884525,64.85756642,64.18320494,63.48882487,62.89684351,11.20600033,10.20199966,11.99600029,11.88199997,11.70400047,16.67499924,18.62999916,21.11400032,21.05800056,21.07999992,9.987999916,8.347999573,10.02099991,9.925999641,9.697999954
9,American Samoa,55812,55741,55620,55465,55312,,,,,,,,,,,,,,,,,,,,
4,Andorra,78011,77297,77001,77006,77142,,,,,,,,,,,,,,,,,,,,
2,Angola,27884381,28842484,29816748,30809762,31825295,50.61516696,50.68562911,50.80778714,50.97470164,51.17863322,7.282000065,7.22300005,7.118999958,7.019000053,6.886000156,7.681000233,7.563000202,7.467000008,7.327000141,6.941999912,6.882999897,6.881999969,6.769000053,6.708000183,6.829999924
10,Antigua and Barbuda,93566,94527,95426,96286,97118,69.26875147,69.23207126,69.19288244,69.11908273,68.99030046,,,,,,,,,,,,,,,
5,Arab World,396028278,404024435,411898967,419790591,427870270,62.71405096,62.65945594,62.64962781,62.66168749,62.67270614,10.67531969,10.45094491,10.64131316,10.56334426,10.33694622,20.01618025,19.96872433,20.36139575,20.38219389,19.95419985,8.193908958,7.898398739,8.097088218,7.998258533,7.824011882
7,Argentina,43131966,43590368,44044811,44494502,44938712,64.06001976,64.06056661,64.08352251,64.12127729,64.16136585,7.75,7.977000237,8.347000122,9.220000267,9.788999557,8.850999832,9.118000031,9.463999748,10.53800011,10.92199993,6.965000153,7.150000095,7.52699995,8.225999832,8.93500042
8,Armenia,2925553,2936146,2944809,2951776,2957731,69.04257075,68.7610583,68.44896633,68.11276042,67.75038027,18.26099968,17.61700058,17.70499992,17.49600029,16.98999977,19.25200081,17.48399925,17.47100067,17.1989994,17.29500008,17.38599968,17.7310009,17.90600014,17.75099945,16.72900009
0,Aruba,104341,104872,105366,105845,106314,69.1597742,69.13761538,68.94633943,68.64660589,68.32119947,,,,,,,,,,,,,,,
11,Australia,23815995,24190907,24601860,24982688,25364307,66.25804941,65.90657302,65.5309417,65.15290773,64.80335154,6.053999901,5.710000038,5.59100008,5.297999859,5.268000126,6.072999954,5.778999805,5.668000221,5.31799984,5.328000069,6.039000034,5.651000023,5.525000095,5.281000137,5.215000153
12,Austria,8642699,8736668,8797566,8840521,8877067,67.03954297,66.9201963,66.81250731,66.70048591,66.56253608,5.72300005,6.013999939,5.499000072,4.84800005,4.673999786,5.308000088,5.543000221,5.031000137,4.650000095,4.546999931,6.085000038,6.426000118,5.907999992,5.019999981,4.78399992
13,Azerbaijan,9649341,9757812,9854033,9939771,10023318,71.3895879,71.02714111,70.72264792,70.43524739,70.11169103,4.960000038,5,5,4.900000095,5.508999825,5.867000103,5.907999992,5.927000046,5.765999794,6.335000038,4.087999821,4.135000229,4.118999958,4.076000214,4.723999977
21,"Bahamas, The",374206,377931,381761,385640,389482,69.31770201,69.77191543,70.06535605,70.25752197,70.44099599,12,12.69999981,9.800000191,10,10.35999966,13.00399971,14.4829998,11.39099979,9.947999954,10.80099964,11.0880003,11.08699989,8.359999657,10.04699993,9.961000443
20,Bahrain,1371851,1425791,1494074,1569439,1641172,76.82605472,77.26758181,77.78620365,78.319356,78.76249412,1.129999995,0.91900003,0.700999975,0.649999976,0.713999987,3.744999886,3.279999971,2.792000055,2.655999899,2.963000059,0.404000014,0.275999993,0.148000002,0.133000001,0.150000006
18,Bangladesh,156256276,157970840,159670593,161356039,163046161,65.61857714,66.11132307,66.625937,67.13558688,67.60528327,4.377999783,4.349999905,4.372000217,4.281000137,4.190000057,7.467000008,7.379000187,6.744999886,6.623000145,6.203999996,3.161000013,3.128000021,3.346999884,3.25999999,3.305999994
28,Barbados,285324,285796,286233,286641,287025,67.03186553,67.00618623,66.9488387,66.85435789,66.71857852,11.35000038,9.720000267,9.76099968,9.385000229,10.33100033,10.32199955,10.10299969,10.04199982,9.600000381,10.69200039,12.35299969,9.345999718,9.487000465,9.175000191,9.979999542
23,Belarus,9489616,9501534,9498264,9483499,9466856,69.41362835,69.07010989,68.71698692,68.28890878,67.7628385,5.914000034,5.840000153,5.650000095,4.760000229,4.59499979,4.262000084,4.18599987,4.039000034,3.553999901,3.349999905,7.544000149,7.47300005,7.228000164,5.920000076,5.789999962
15,Belgium,11274196,11331422,11375158,11427054,11484055,64.85353395,64.61143766,64.37944165,64.1558335,63.93523089,8.482000351,7.829999924,7.085999966,5.947999954,5.589000225,7.768000126,7.559999943,7.053999901,5.561999798,5.136000156,9.092000008,8.059000015,7.113999844,6.28000021,5.977000237
24,Belize,360933,368400,375769,383071,390353,63.48047976,63.96579805,64.48057184,64.98377585,65.42821497,7.578000069,7,6.59499979,6.512000084,6.413000107,11.06499958,11.11499977,9.800999641,9.720999718,9.652999878,5.431000233,4.394000053,4.589000225,4.488999844,4.354000092
16,Benin,10575952,10872067,11175204,11485048,11801151,53.73519093,53.89830798,54.0874712,54.29871231,54.52959631,2.582000017,2.536999941,2.459000111,2.385999918,2.232000113,2.776000023,2.747999907,2.664000034,2.566999912,2.335999966,2.394999981,2.332999945,2.260999918,2.210999966,2.131999969
25,Bermuda,65237,64554,63873,63920,63918,,,,,,,,,,,,,,,,,,,,
