Country Name,2015 Total Completion %,2016 Total Completion %,2017 Total Completion %,2018 Total Completion %,2019 Total Completion %,2015 Male Completion %,2016 Male Completion %,2017 Male Completion %,2018 Male Completion %,2019 Male Completion %,2015 Female Completion %,2016 Female Completion %,2017 Female Completion %,2018 Female Completion %,2019 Female Completion %
Aruba,,,,,,,,,,,,,,,
Afghanistan,,80.4950408935547,84.4149475097656,85.6253280639648,,,96.5420913696289,101.29421234130899,103.283256530762,,,63.604068756103494,66.6888809204102,67.12930297851561,
Angola,,,,,,,,,,,,,,,
Albania,98.8615875244141,99.8815536499023,101.98370361328101,101.537857055664,103.32274627685499,97.53887939453129,97.7903900146484,100.56242370605499,98.8586807250977,102.29239654541,100.388717651367,102.297653198242,103.633232116699,104.656768798828,104.52043151855499
Andorra,,,,,,,,,,,,,,,
Arab World,84.9005432128906,84.3225936889648,84.4486770629883,84.9522323608398,85.9613723754883,86.978759765625,86.4639663696289,86.1367568969727,86.4944305419922,87.4828720092773,82.726806640625,82.0830993652344,82.6846389770508,83.3391876220703,84.36878967285159
United Arab Emirates,103.52020263671899,,,,,102.674873352051,,,,,104.419776916504,,,,
Argentina,102.973739624023,103.893569946289,99.96276092529301,,,103.452690124512,103.467811584473,100.222793579102,,,102.477333068848,104.334892272949,99.69320678710942,,
Armenia,94.59063720703129,90.7516098022461,91.9877090454102,89.8789596557617,93.13851928710942,93.5767974853516,89.95716094970699,91.5109405517578,90.1930465698242,93.2640762329102,95.7621612548828,91.6685791015625,92.5356597900391,89.51941680908199,92.9951934814453
American Samoa,,,,,,,,,,,,,,,
Antigua and Barbuda,92.55548095703129,,98.18578338623051,96.1988296508789,,94.0509872436523,,99.71263885498051,93.4971084594727,,91.02749633789058,,96.62757110595699,98.9645004272461,
Australia,,,,,,,,,,,,,,,
Austria,100.37378692626999,99.6567230224609,99.4531784057617,99.8130035400391,,100.790382385254,99.71157836914058,98.89478302001949,99.8118133544922,,99.9368133544922,99.5990524291992,100.042900085449,99.81427001953129,
Azerbaijan,103.28021240234399,111.30191040039101,107.172172546387,100.21994781494101,100.383338928223,104.73699951171899,112.694541931152,106.78256225585899,99.8573837280273,100.392021179199,101.61833190918001,109.72020721435499,107.618377685547,100.641212463379,100.37316131591801
Burundi,64.539680480957,67.6745071411133,68.3787002563477,63.021389007568395,59.37641906738279,59.5925216674805,62.264400482177706,63.2476081848145,58.1740112304688,54.296939849853494,69.50148773193361,73.1059112548828,73.5319595336914,67.8918533325195,64.4831085205078
Belgium,,,,,,,,,,,,,,,
Benin,81.1403274536133,80.7455596923828,,,64.43959808349611,86.0414886474609,85.3337326049805,,,67.6304092407227,76.10626220703129,76.03179931640629,,,61.158821105957
Burkina Faso,62.0298004150391,61.724338531494105,63.5192184448242,65.4789276123047,64.5494537353516,60.5611991882324,59.47016906738279,60.788978576660206,62.602210998535206,60.9685401916504,63.5569000244141,64.0678024291992,66.35379028320311,68.46311187744139,68.2620468139648
Bangladesh,,,,,,,,,,,,,,,
Bulgaria,96.19129180908199,92.0453414916992,89.81646728515629,86.61853790283199,,96.5857620239258,92.3151321411133,90.470458984375,87.07457733154301,,95.7726516723633,91.75952911376949,89.12432861328129,86.1365737915039,
Bahrain,98.7402725219727,99.5136489868164,99.45120239257808,97.8741226196289,100.24118804931601,97.3521270751953,96.2837066650391,98.5703277587891,96.5158309936523,103.175819396973,100.234420776367,103.04010009765601,100.38452911376999,99.2761764526367,97.3203506469727
"Bahamas, The",85.22869873046879,77.4233932495117,,76.45863342285159,,83.417236328125,77.5266799926758,,78.0740280151367,,87.0243301391602,77.3208694458008,,74.85179138183591,
Bosnia and Herzegovina,,,,,,,,,,,,,,,
Belarus,96.76220703125,96.8677520751953,101.681007385254,104.61791229248001,,96.9912261962891,96.18154907226558,101.89366912841801,104.59227752685499,,96.5204010009766,97.5932235717773,101.456367492676,104.644950866699,
Belize,104.231796264648,105.33762359619101,102.60971069335899,104.47447967529301,102.84693145751999,104.88542175293001,104.979667663574,102.787010192871,104.81835174560499,102.620651245117,103.565933227539,105.70461273193399,102.426803588867,104.11765289306601,103.082748413086
Bermuda,91.57302856445308,,,,,,,,,,,,,,
Bolivia,88.83914184570308,89.9124298095703,91.6103134155273,94.83978271484379,,89.3401870727539,90.2176666259766,92.16622924804692,95.4334030151367,,88.31674194335942,89.5941619873047,91.0305404663086,94.22058868408199,
Brazil,,,,,,,,,,,,,,,
Barbados,,,,88.7468719482422,90.0936737060547,,,,87.6159286499023,88.6528778076172,,,,89.9207229614258,91.5801620483398
Brunei Darussalam,102.17227935791,,107.42722320556601,107.978721618652,100.098007202148,101.140350341797,,108.41236114501999,107.60324859619101,98.92337036132808,103.25653076171899,,106.383666992188,108.37766265869101,101.34953308105499
Bhutan,,100.662162780762,100.0,,,,95.4997177124023,95.7190093994141,,,,105.970802307129,104.401123046875,,
Botswana,,,,,,,,,,,,,,,
Central African Republic,,40.8741683959961,,,,,48.8770217895508,,,,,32.834201812744105,,,
Canada,,,,,,,,,,,,,,,
Central Europe and the Baltics,97.94967651367192,97.4461898803711,98.5718231201172,93.0764999389648,93.1056671142578,97.91956329345699,97.0167617797852,98.2310333251953,93.0778427124023,93.1100616455078,97.98145294189449,97.89942169189449,98.9309768676758,93.07508087158199,93.10125732421879
Switzerland,95.77346801757808,96.82687377929692,97.15868377685551,96.2100830078125,,94.5887985229492,96.0268325805664,95.66293334960942,95.67337036132808,,97.0237274169922,97.6693878173828,98.73052978515629,96.77362060546879,
Channel Islands,,,,,,,,,,,,,,,
