Country Name,2015 Total Pop,2016 Total Pop,2017 Total Pop,2018 Total Pop,2019 Total Pop,2015 Adults (%),2016 Adults (%),2017 Adults (%),2018 Adults (%),2019 Adults (%),2015 Total Unemploment,2016 Total Unemploment,2017 Total Unemploment,2018 Total Unemploment,2019 Total Unemploment,2015 Female Unemploment,2016 Female Unemploment,2017 Female Unemploment,2018 Female Unemploment,2019 Female Unemploment,2015 Male Unemployment,2016 Male Unemployment,2017 Male Unemployment,2018 Male Unemployment,2019 Male Unemployment,2015 Total GDP,2016 Total GDP,2017 Total GDP,2018 Total GDP,2019 Total GDP,2015 Total Labor Force,2016 Total Labor Force,2017 Total Labor Force,2018 Total Labor Force,2019 Total Labor Force,2015 % Total GDP,2016 % Total GDP,2017 % Total GDP,2018 % Total GDP,2019 % Total GDP,"2015 % Spending/Student, Primary","2016 % Spending/Student, Primary","2017 % Spending/Student, Primary","2018 % Spending/Student, Primary","2019 % Spending/Student, Primary","2015 % Spending/Student, Secondary","2016 % Spending/Student, Secondary","2017 % Spending/Student, Secondary","2018 % Spending/Student, Secondary","2019 % Spending/Student, Secondary","2015 % Spending/Student, Tertiary","2016 % Spending/Student, Tertiary","2017 % Spending/Student, Tertiary","2018 % Spending/Student, Tertiary","2019 % Spending/Student, Tertiary",2015 Total Literacy,2016 Total Literacy,2017 Total Literacy,2018 Total Literacy,2019 Total Literacy,2015 Male Literacy,2016 Male Literacy,2017 Male Literacy,2018 Male Literacy,2019 Male Literacy,2015 Female Literacy,2016 Female Literacy,2017 Female Literacy,2018 Female Literacy,2019 Female Literacy,2015 Happiness Score,2016 Happiness Score,2017 Happiness Score,2018 Happiness Score,2019 Happiness Score
Afghanistan,34413603,35383128,36296400,37172386,38041754,52.64429883,53.2079642,53.76322252,54.32489755,54.9119344,11.38700008,11.31299973,11.18400002,11.05700016,11.11800003,14.42700005,14.31400013,14.09000015,13.90600014,14.00399971,10.68400002,10.5710001,10.41600037,10.2869997,10.33100033,19907111419,18017749074,18869945678,18353881130,19291104008,9176450,9566712,9947922,10334090,10699797,3.255800009,4.228360176,4.058869839,,,10.24688,10.34081,10.25174,,,10.29234,11.98575,11.3072,,,,,,,,,,,43.01971817,,,,,55.47544861,,,,,29.80521011,,3.575,3.36,3.79399991,3.632,3.203
Angola,27884381,28842484,29816748,30809762,31825295,50.61516696,50.68562911,50.80778714,50.97470164,51.17863322,7.282000065,7.22300005,7.118999958,7.019000053,6.886000156,7.681000233,7.563000202,7.467000008,7.327000141,6.941999912,6.882999897,6.881999969,6.769000053,6.708000183,6.829999924,1.16194E+11,1.01124E+11,1.22124E+11,1.01353E+11,88815697793,11437925,11848410,12268842,12705486,13164276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.033,3.866,3.795000076,3.795,
Albania,2880703,2876101,2873457,2866376,2854191,68.70472473,68.66009247,68.64261422,68.58239036,68.39780528,17.07999992,15.22000027,13.75,12.34000015,12.33100033,17.09799957,14.57299995,12.56299973,11.22900009,11.60400009,17.06800079,15.67800045,14.59000015,13.12699986,12.84599972,11386846319,11861200797,13019693451,15147020535,15279183290,1289562,1302836,1316869,1318022,1313923,3.437969923,3.962090015,3.611720085,,,29.84568,,34.18148,,,6.78368,9.82258,7.97805,,,12.88117,14.64597,13.78559,,,,,,98.14115143,,,,,98.51361847,,,,,97.76112366,,4.959,4.655,4.644000053,4.586,4.719
United Arab Emirates,9262900,9360980,9487203,9630959,9770529,84.90274104,84.62749627,84.46089959,84.31148965,84.13083877,1.909999967,1.636000037,2.463000059,2.229000092,2.34800005,4.703000069,4.199999809,7.136000156,6.186999798,6.046000004,1.373999953,1.118999958,1.480000019,1.391000032,1.559000015,3.58135E+11,3.57045E+11,3.85606E+11,4.22215E+11,4.21142E+11,6600371,6612725,6676278,6752973,6840917,,,,,,,,,,,,,,,,,,,,,93.22714233,,,,,92.55615997,,,,,95.09761047,,,,,6.901,6.573,6.647999763,6.774,6.825
Argentina,43131966,43590368,44044811,44494502,44938712,64.06001976,64.06056661,64.08352251,64.12127729,64.16136585,7.75,7.977000237,8.347000122,9.220000267,9.788999557,8.850999832,9.118000031,9.463999748,10.53800011,10.92199993,6.965000153,7.150000095,7.52699995,8.225999832,8.93500042,5.94749E+11,5.57531E+11,6.43629E+11,5.17627E+11,4.45445E+11,19360544,19696452,20035267,20551682,20772672,5.776110172,5.545489788,5.462230206,,,15.64309,15.2222,14.97726,,,22.87436,21.59171,20.6226,,,17.24864,16.08373,16.91251,,,99.17996216,99.12500763,,99.0038681,,99.14824677,99.1049881,,98.93773651,,99.20877075,99.14309692,,99.06204224,,6.574,6.65,6.598999977,6.388,6.086
Armenia,2925553,2936146,2944809,2951776,2957731,69.04257075,68.7610583,68.44896633,68.11276042,67.75038027,18.26099968,17.61700058,17.70499992,17.49600029,16.98999977,19.25200081,17.48399925,17.47100067,17.1989994,17.29500008,17.38599968,17.7310009,17.90600014,17.75099945,16.72900009,10553337673,10546135160,11527458566,12457941907,13672802158,1334775,1310061,1303653,1303093,1303565,2.80591011,2.75812006,2.707590103,,,10.994,11.27122,10.15365,,,,,,,,9.83908,9.7656,9.88124,,,,,99.73606873,,,,,99.80549622,,,,,99.67716217,,,4.35,4.36,4.375999928,4.321,4.559
Australia,23815995,24190907,24601860,24982688,25364307,66.25804941,65.90657302,65.5309417,65.15290773,64.80335154,6.053999901,5.710000038,5.59100008,5.297999859,5.268000126,6.072999954,5.778999805,5.668000221,5.31799984,5.328000069,6.039000034,5.651000023,5.525000095,5.281000137,5.215000153,1.35169E+12,1.20885E+12,1.32919E+12,1.43288E+12,1.39657E+12,12585539,12742247,12989073,13254463,13414956,5.311270237,5.276780128,5.124249935,,,18.78482,19.30184,,,,17.13625,14.98139,,,,21.46599,17.82954,,,,,,,,,,,,,,,,,,,7.284,7.313,7.28399992,7.272,7.228
Austria,8642699,8736668,8797566,8840521,8877067,67.03954297,66.9201963,66.81250731,66.70048591,66.56253608,5.72300005,6.013999939,5.499000072,4.84800005,4.673999786,5.308000088,5.543000221,5.031000137,4.650000095,4.546999931,6.085000038,6.426000118,5.907999992,5.019999981,4.78399992,3.81818E+11,3.95569E+11,4.17238E+11,4.55095E+11,4.45075E+11,4460833,4537043,4566743,4601213,4613292,5.456580162,5.484350204,5.358039856,,,23.20446,23.48041,,,,27.293,27.72044,,,,35.98491,36.23652,,,,,,,,,,,,,,,,,,,7.2,7.119,7.006000042,7.139,7.246
Azerbaijan,9649341,9757812,9854033,9939771,10023318,71.3895879,71.02714111,70.72264792,70.43524739,70.11169103,4.960000038,5,5,4.900000095,5.508999825,5.867000103,5.907999992,5.927000046,5.765999794,6.335000038,4.087999821,4.135000229,4.118999958,4.076000214,4.723999977,53074370486,37867518957,40865558912,47112941176,48047647059,4875807,4969726,5033862,5091052,5103137,2.951679945,2.903409958,2.473819971,2.455430031,,,,,,,,,,,,17.88004,23.31199,19.39114,,,99.78806305,99.79006195,99.79122925,,,99.86263275,99.86405182,99.86374664,,,99.7171402,99.71955109,99.72199249,,,5.212,5.291,5.234000206,5.201,5.208
Burundi,10160030,10487998,10827024,11175378,11530580,52.38346737,52.30296162,52.25774518,52.25137879,52.28725702,1.552000046,1.527999997,1.486999989,1.447999954,1.427000046,1.126000047,1.123000026,1.072999954,1.032999992,1.008999944,2.015000105,1.967000008,1.934000015,1.896000028,1.878000021,3104394858,2959640987,3172292379,3036931818,3012334882,4350268,4503184,4660778,4822373,4983237,6.370540142,4.691999912,4.762020111,5.078649998,,,,,,,,,,,,,,,,,,,68.37532806,,,,,76.29605103,,,,,61.22369003,,,2.905,2.905,2.904999971,2.905,3.775
Belgium,11274196,11331422,11375158,11427054,11484055,64.85353395,64.61143766,64.37944165,64.1558335,63.93523089,8.482000351,7.829999924,7.085999966,5.947999954,5.589000225,7.768000126,7.559999943,7.053999901,5.561999798,5.136000156,9.092000008,8.059000015,7.113999844,6.28000021,5.977000237,4.6215E+11,4.7574E+11,5.02698E+11,5.43734E+11,5.33097E+11,5000910,5005505,5037405,5089752,5101824,6.451570034,6.45953989,6.412280083,,,22.03343,21.87767,,,,,,,,,32.32961,32.207,,,,,,,,,,,,,,,,,,,6.937,6.929,6.890999794,6.927,6.923
Benin,10575952,10872067,11175204,11485048,11801151,53.73519093,53.89830798,54.0874712,54.29871231,54.52959631,2.582000017,2.536999941,2.459000111,2.385999918,2.232000113,2.776000023,2.747999907,2.664000034,2.566999912,2.335999966,2.394999981,2.332999945,2.260999918,2.210999966,2.131999969,11388160958,11821066153,12701656931,14250985959,14390709095,4264772,4397957,4535767,4678297,4833491,3.17298007,2.899100065,3.535589933,2.933969975,,10.25321,,,,,11.34655,,,,,77.72193,,,,,,,,42.36240005,,,,,53.97703171,,,,,31.07164955,,3.34,3.484,3.657000065,4.141,4.883
