Country Name,2015 Happiness Score,2016 Happiness Score,2017 Happiness Score,2018 Happiness Score,2019 Happiness Score
Afghanistan,3.575,3.36,3.79399991035461,3.632,3.2030000000000003
Albania,4.959,4.655,4.64400005340576,4.586,4.7189999999999985
Algeria,5.605,6.355,5.8720002174377415,5.295,5.211
Angola,4.033,3.866,3.79500007629395,3.795,
Argentina,6.574,6.65,6.59899997711182,6.388,6.086
Armenia,4.35,4.36,4.37599992752075,4.3210000000000015,4.559
Australia,7.284,7.313,7.28399991989136,7.272,7.228
Austria,7.2,7.119,7.00600004196167,7.1389999999999985,7.246
Azerbaijan,5.2120000000000015,5.291,5.2340002059936515,5.2010000000000005,5.207999999999998
Bahrain,5.96,6.218,6.08699989318848,6.105,6.199
Bangladesh,4.694,4.643,4.60799980163574,4.5,4.456
Belarus,5.813,5.8020000000000005,5.5689997673034695,5.483,5.323
Belgium,6.937,6.9289999999999985,6.89099979400635,6.9270000000000005,6.922999999999999
Benin,3.34,3.484,3.65700006484985,4.141,4.883
Bhutan,5.252999999999999,5.1960000000000015,5.01100015640259,5.082,5.082
Bolivia,5.89,5.822,5.82299995422363,5.752000000000002,5.779
Bosnia and Herzegovina,4.949,5.1629999999999985,5.18200016021729,5.129,5.386
Botswana,4.332,3.974,3.7660000324249294,3.59,3.488
Brazil,6.983,6.952000000000001,6.63500022888184,6.419,6.3
Bulgaria,4.218,4.217,4.71400022506714,4.933,5.011
Burkina Faso,3.587,3.739,4.03200006484985,4.424,4.587
Burundi,2.905,2.905,2.90499997138977,2.905,3.775
Cambodia,3.819,3.907,4.1680002212524405,4.433,4.7
Cameroon,4.252,4.513,4.69500017166138,4.975,5.044
Canada,7.427,7.404,7.31599998474121,7.3279999999999985,7.278
Central African Republic,3.678,,2.69300007820129,3.083,3.083
Chad,3.667,3.763,3.9360001087188703,4.301,4.35
Chile,6.67,6.705,6.65199995040894,6.476,6.444
China,5.14,5.245,5.2729997634887695,5.246,5.191
Colombia,6.477,6.481,6.35699987411499,6.26,6.125
Comoros,3.956,3.956,,,3.973
Congo (Brazzaville),3.989,4.2360000000000015,4.29099988937378,4.559,4.812
Congo (Kinshasa),4.517,4.272,4.280000209808351,4.245,4.418
Costa Rica,7.226,7.0870000000000015,7.0789999961853,7.072,7.167000000000002
Croatia,5.759,5.488,5.2930002212524405,5.3210000000000015,5.432
Cyprus,5.689,5.546,5.62099981307983,5.7620000000000005,6.046
Czech Republic,6.505,6.596,6.60900020599365,6.711,6.852
Denmark,7.527,7.526,7.52199983596802,7.555,7.6
Djibouti,4.369,,,,
Dominican Republic,4.885,5.155,5.230000019073491,5.3020000000000005,5.425
Ecuador,5.975,5.976,6.00799989700317,5.973,6.028
Egypt,4.194,4.362,4.7350001335144,4.419,4.166
El Salvador,6.13,6.068,6.0029997825622585,6.167000000000002,6.252999999999999
Estonia,5.4289999999999985,5.517,5.61100006103516,5.739,5.893
Ethiopia,4.512,4.508,4.46000003814697,4.35,4.2860000000000005
Finland,7.4060000000000015,7.4129999999999985,7.468999862670901,7.6320000000000014,7.769
France,6.575,6.478,6.44199991226196,6.489,6.5920000000000005
Gabon,3.896,4.121,4.46500015258789,4.758,4.799
Georgia,4.297,4.252,4.28599977493286,4.34,4.519
Germany,6.75,6.994,6.9510002136230495,6.965,6.985
Ghana,4.633,4.276,4.11999988555908,4.657,4.996
Greece,4.857,5.033,5.227000236511231,5.358,5.287000000000001
Guatemala,6.122999999999998,6.324,6.4539999961853,6.3820000000000014,6.436
Guinea,3.656,3.607,3.50699996948242,3.964,4.534
Haiti,4.518,4.0280000000000005,3.6029999256134,3.582,3.597
Honduras,4.788,4.871,5.1810002326965305,5.504,5.86
Hong Kong,5.474,5.457999999999998,,5.43,5.43
Hungary,4.8,5.145,5.32399988174438,5.62,5.757999999999999
Iceland,7.561,7.501,7.50400018692017,7.495,7.494
India,4.565,4.404,4.31500005722046,4.19,4.015
Indonesia,5.399,5.314,5.26200008392334,5.093,5.192
Iran,4.686,4.813,4.69199991226196,4.707,4.548
Iraq,4.677,4.575,4.49700021743774,4.456,4.437
Ireland,6.94,6.907,6.977000236511231,6.977,7.021
Israel,7.278,7.267,7.212999820709231,6.814,7.1389999999999985
Italy,5.948,5.977,5.96400022506714,6.0,6.223
Ivory Coast,3.655,3.916,4.17999982833862,4.671,4.944
Jamaica,5.709,5.51,5.31099987030029,5.89,5.89
Japan,5.987,5.921,5.92000007629395,5.915,5.886
Jordan,5.192,5.303,5.33599996566772,5.1610000000000005,4.9060000000000015
Kazakhstan,5.855,5.919,5.8189997673034695,5.79,5.809
Kenya,4.419,4.356,4.55299997329712,4.41,4.509
Kosovo,5.589,5.401,5.27899980545044,5.662000000000001,6.1
Kuwait,6.295,6.239,6.10500001907349,6.082999999999998,6.021
Kyrgyzstan,5.2860000000000005,5.185,5.0040001869201705,5.131,5.261
Laos,4.876,4.876,,4.623,4.796
Latvia,5.098,5.56,5.849999904632571,5.933,5.94
Lebanon,4.839,5.129,5.22499990463257,5.358,5.197
Lesotho,4.898,,3.80800008773804,3.808,3.802
Liberia,4.5710000000000015,3.622,3.532999992370609,3.495,3.975
Libya,5.754,5.615,5.525000095367429,5.566,5.525
Lithuania,5.832999999999998,5.813,5.90199995040894,5.952000000000001,6.149
Luxembourg,6.9460000000000015,6.871,6.86299991607666,6.91,7.09
Macedonia,5.007,5.121,5.1750001907348615,5.185,
Madagascar,3.681,3.695,3.64400005340576,3.774,3.933
Malawi,4.292,4.1560000000000015,3.97000002861023,3.587,3.41
Malaysia,5.77,6.005,6.08400011062622,6.322,5.339
Mali,3.995,4.073,4.19000005722046,4.447,4.39
Malta,6.3020000000000005,6.488,6.52699995040894,6.627000000000002,6.726
Mauritania,4.436,4.2010000000000005,4.29199981689453,4.356,4.49
Mauritius,5.477,5.648,5.62900018692017,5.891,5.888
Mexico,7.187,6.778,6.57800006866455,6.488,6.595
Moldova,5.8889999999999985,5.897,5.837999820709231,5.64,5.529
Mongolia,4.874,4.907,4.95499992370605,5.125,5.285
Montenegro,5.192,5.1610000000000005,5.23699998855591,5.347,5.523
Morocco,5.013,5.151,5.2350001335144,5.254,5.207999999999998
Mozambique,4.971,,4.5500001907348615,4.417,4.466
Myanmar,4.307,4.395,4.54500007629395,4.308,4.36
Nepal,4.5139999999999985,4.793,4.961999893188481,4.88,4.913
Netherlands,7.377999999999999,7.338999999999999,7.3769998550415,7.441,7.487999999999999
New Zealand,7.286,7.334,7.31400012969971,7.324,7.307
Nicaragua,5.8279999999999985,5.992000000000001,6.07100009918213,6.141,6.105
Niger,3.845,3.856,4.02799987792969,4.166,4.628
Nigeria,5.268,4.875,5.07399988174438,5.155,5.265
North Cyprus,5.695,5.771,5.80999994277954,,
Norway,7.522,7.497999999999998,7.537000179290769,7.5939999999999985,7.5539999999999985
Oman,6.853,,,,
Pakistan,5.194,5.1320000000000014,5.26900005340576,5.472,5.653
Palestinian Territories,4.715,4.754,4.77500009536743,4.743,4.6960000000000015
Panama,6.7860000000000005,6.7010000000000005,6.4520001411438,6.43,6.3210000000000015
Paraguay,5.877999999999999,5.5379999999999985,5.493000030517581,5.681,5.7429999999999986
Peru,5.824,5.7429999999999986,5.71500015258789,5.6629999999999985,5.697
Philippines,5.073,5.279,5.42999982833862,5.524,5.631
Poland,5.791,5.835,5.97300004959106,6.122999999999998,6.182
Portugal,5.102,5.122999999999998,5.19500017166138,5.41,5.693
Qatar,6.6110000000000015,6.375,6.375,6.374,6.374
Romania,5.124,5.528,5.824999809265139,5.945,6.07
Russia,5.716,5.856,5.962999820709231,5.81,5.648
Rwanda,3.465,3.515,3.47099995613098,3.408,3.334
Saudi Arabia,6.4110000000000005,6.379,6.343999862670901,6.371,6.375
Senegal,3.904,4.2189999999999985,4.53499984741211,4.631,4.681
Serbia,5.122999999999998,5.1770000000000005,5.39499998092651,5.398,5.603
Sierra Leone,4.507,4.635,4.70900011062622,4.5710000000000015,4.374
Singapore,6.797999999999999,6.739,6.57200002670288,6.343,6.2620000000000005
Slovakia,5.995,6.0779999999999985,6.09800004959106,6.172999999999999,6.198
Slovenia,5.848,5.768,5.75799989700317,5.948,6.1179999999999986
Somaliland region,5.057,,,,
South Africa,4.642,4.459,4.8289999961853,4.724,4.722
