Country Name,2015 Total Pop,2016 Total Pop,2017 Total Pop,2018 Total Pop,2019 Total Pop,2015 Adults (%),2016 Adults (%),2017 Adults (%),2018 Adults (%),2019 Adults (%),2015 Total Unemploment,2016 Total Unemploment,2017 Total Unemploment,2018 Total Unemploment,2019 Total Unemploment,2015 Female Unemploment,2016 Female Unemploment,2017 Female Unemploment,2018 Female Unemploment,2019 Female Unemploment,2015 Male Unemployment,2016 Male Unemployment,2017 Male Unemployment,2018 Male Unemployment,2019 Male Unemployment,2015 Total GDP,2016 Total GDP,2017 Total GDP,2018 Total GDP,2019 Total GDP,2015 Total Labor Force,2016 Total Labor Force,2017 Total Labor Force,2018 Total Labor Force,2019 Total Labor Force,2015 Happiness Score,2016 Happiness Score,2017 Happiness Score,2018 Happiness Score,2019 Happiness Score
Afghanistan,34413603.0,35383128.0,36296400.0,37172386.0,38041754.0,52.64429883,53.2079642,53.76322252,54.32489755,54.91193440000001,11.38700008,11.31299973,11.18400002,11.05700016,11.11800003,14.42700005,14.31400013,14.09000015,13.90600014,14.00399971,10.68400002,10.5710001,10.41600037,10.286999699999999,10.33100033,19907111419.0,18017749074.0,18869945678.0,18353881130.0,19291104008.0,9176450.0,9566712.0,9947922.0,10334090.0,10699797.0,3.575,3.36,3.79399991,3.6319999999999997,3.2030000000000003
Albania,2880703.0,2876101.0,2873457.0,2866376.0,2854191.0,68.70472473,68.66009247,68.64261422,68.58239036,68.39780528,17.07999992,15.22000027,13.75,12.34000015,12.33100033,17.09799957,14.57299995,12.56299973,11.22900009,11.60400009,17.06800079,15.67800045,14.59000015,13.12699986,12.84599972,11386846319.0,11861200797.0,13019693451.0,15147020535.0,15279183290.0,1289562.0,1302836.0,1316869.0,1318022.0,1313923.0,4.959,4.655,4.644000053,4.586,4.718999999999999
Algeria,39728025.0,40551404.0,41389198.0,42228429.0,43053054.0,65.42884525,64.85756642,64.18320494,63.48882487,62.89684351,11.20600033,10.20199966,11.99600029,11.88199997,11.70400047,16.67499924,18.62999916,21.11400032,21.05800056,21.07999992,9.987999916,8.347999573,10.02099991,9.925999641,9.697999954,166361000000.0,159995000000.0,170163000000.0,175406000000.0,171091000000.0,11742189.0,11904866.0,12051687.0,12173459.0,12303926.0,5.605,6.355,5.872000217,5.295,5.211
Argentina,43131966.0,43590368.0,44044811.0,44494502.0,44938712.0,64.06001976,64.06056661,64.08352251,64.12127729,64.16136585,7.75,7.977000237,8.347000122,9.220000267,9.788999557,8.850999832000001,9.118000031000001,9.463999747999999,10.53800011,10.92199993,6.965000152999999,7.150000095,7.52699995,8.225999832000001,8.93500042,594749000000.0,557531000000.0,643629000000.0,517627000000.0,445445000000.0,19360544.0,19696452.0,20035267.0,20551682.0,20772672.0,6.574,6.65,6.598999977,6.388,6.086
Armenia,2925553.0,2936146.0,2944809.0,2951776.0,2957731.0,69.04257075,68.7610583,68.44896633,68.11276042,67.75038027,18.26099968,17.61700058,17.70499992,17.49600029,16.98999977,19.25200081,17.48399925,17.47100067,17.198999399999998,17.29500008,17.38599968,17.731000899999998,17.90600014,17.75099945,16.72900009,10553337673.0,10546135160.0,11527458566.0,12457941907.0,13672802158.0,1334775.0,1310061.0,1303653.0,1303093.0,1303565.0,4.35,4.36,4.375999928,4.321000000000001,4.559
Australia,23815995.0,24190907.0,24601860.0,24982688.0,25364307.0,66.25804941,65.90657302,65.5309417,65.15290773,64.80335154,6.053999901,5.7100000379999996,5.59100008,5.297999859,5.2680001260000004,6.072999954,5.778999805,5.668000221000001,5.31799984,5.328000069,6.039000034,5.651000023,5.525000095,5.2810001369999995,5.215000153,1351690000000.0,1208850000000.0,1329190000000.0,1432880000000.0,1396570000000.0,12585539.0,12742247.0,12989073.0,13254463.0,13414956.0,7.284,7.313,7.28399992,7.272,7.228
Austria,8642699.0,8736668.0,8797566.0,8840521.0,8877067.0,67.03954297,66.9201963,66.81250731,66.70048591,66.56253608,5.72300005,6.013999939,5.499000072,4.84800005,4.673999786,5.308000088,5.543000221000001,5.0310001369999995,4.650000095,4.546999931,6.0850000379999996,6.426000117999999,5.907999992000001,5.019999981000001,4.78399992,381818000000.0,395569000000.0,417238000000.0,455095000000.0,445075000000.0,4460833.0,4537043.0,4566743.0,4601213.0,4613292.0,7.2,7.119,7.006000042,7.138999999999999,7.246
Azerbaijan,9649341.0,9757812.0,9854033.0,9939771.0,10023318.0,71.38958790000001,71.02714111,70.72264792,70.43524739,70.11169103,4.960000038,5.0,5.0,4.900000095,5.508999825,5.867000103,5.907999992000001,5.927000046,5.765999794,6.3350000379999996,4.087999821,4.135000229,4.118999958,4.076000214,4.723999977,53074370486.0,37867518957.0,40865558912.0,47112941176.0,48047647059.0,4875807.0,4969726.0,5033862.0,5091052.0,5103137.0,5.212000000000001,5.291,5.234000206,5.2010000000000005,5.207999999999999
Bahrain,1371851.0,1425791.0,1494074.0,1569439.0,1641172.0,76.82605472,77.26758181,77.78620365,78.319356,78.76249412,1.129999995,0.91900003,0.700999975,0.649999976,0.713999987,3.7449998860000004,3.279999971,2.792000055,2.655999899,2.9630000589999996,0.40400001399999996,0.275999993,0.148000002,0.133000001,0.150000006,31050638298.0,32234973404.0,35473776596.0,37652500000.0,38574069149.0,777895.0,817831.0,869405.0,926959.0,978624.0,5.96,6.218,6.086999893,6.105,6.199
Bangladesh,156256276.0,157970840.0,159670593.0,161356039.0,163046161.0,65.61857714,66.11132307,66.625937,67.13558688,67.60528327,4.377999783,4.349999905,4.372000217,4.2810001369999995,4.190000057,7.467000007999999,7.379000187000001,6.7449998860000004,6.623000145,6.203999996,3.161000013,3.128000021,3.3469998839999997,3.25999999,3.3059999939999996,195079000000.0,221415000000.0,249711000000.0,274039000000.0,302571000000.0,62595846.0,63698450.0,67454903.0,68791250.0,70009461.0,4.694,4.643,4.607999802,4.5,4.456
