Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Afghanistan,AFG,10.24688,10.34081,10.25174,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Albania,ALB,29.84568,..,34.18148,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Algeria,DZA,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,American Samoa,ASM,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Andorra,AND,13.45657,12.74297,12.72411,12.30702,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Angola,AGO,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Antigua and Barbuda,ATG,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Argentina,ARG,15.64309,15.2222,14.97726,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Armenia,ARM,10.994,11.27122,10.15365,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Aruba,ABW,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Australia,AUS,18.78482,19.30184,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Austria,AUT,23.20446,23.48041,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Azerbaijan,AZE,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,"Bahamas, The",BHS,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Bahrain,BHR,11.16362,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Bangladesh,BGD,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Barbados,BRB,..,20.75168,..,..,..
